,alpha,A,BA,P,R,SP,F1,ROC,MCC,RA,RSE,RSP
68,1.5,0.7662337662337663,0.7518518518518519,0.6551724137931034,0.7037037037037037,0.8,0.7474489795918368,0.751851851851852,0.49604652413672967,0.9259259259259259,0.8947368421052632,1.0
69,2.0,0.8051948051948052,0.8074074074074074,0.6875,0.8148148148148148,0.8,0.7939339875111507,0.8074074074074075,0.5952918846948437,0.9629629629629629,0.9473684210526315,1.0
70,2.5,0.7532467532467533,0.7503703703703704,0.625,0.7407407407407407,0.76,0.7389830508474576,0.7503703703703704,0.4848401374141137,0.9259259259259259,0.8947368421052632,1.0
71,3.0,0.7532467532467533,0.7503703703703704,0.625,0.7407407407407407,0.76,0.7389830508474576,0.7503703703703704,0.4848401374141137,0.9259259259259259,0.8947368421052632,1.0
72,3.5,0.7532467532467533,0.7503703703703704,0.625,0.7407407407407407,0.76,0.7389830508474576,0.7503703703703704,0.4848401374141137,0.9259259259259259,0.8947368421052632,1.0
73,4.0,0.7662337662337663,0.768888888888889,0.6363636363636364,0.7777777777777778,0.76,0.7542553191489361,0.768888888888889,0.5185449728701349,1.0,1.0,1.0
74,4.5,0.7532467532467533,0.7418518518518519,0.6333333333333333,0.7037037037037037,0.78,0.7353951890034365,0.7418518518518519,0.4733002574487753,0.9259259259259259,0.8947368421052632,1.0
75,5.0,0.7792207792207793,0.7874074074074073,0.6470588235294118,0.8148148148148148,0.76,0.7692578882425525,0.7874074074074074,0.5523586388082835,0.9629629629629629,0.9473684210526315,1.0
76,5.5,0.7922077922077922,0.788888888888889,0.6774193548387096,0.7777777777777778,0.8,0.7787356321839081,0.788888888888889,0.5621703750837337,0.9629629629629629,0.9473684210526315,1.0
77,6.0,0.7662337662337663,0.768888888888889,0.6363636363636364,0.7777777777777778,0.76,0.7542553191489361,0.768888888888889,0.5185449728701349,0.9629629629629629,0.9473684210526315,1.0
78,0.0,0.7142857142857143,0.6522222222222223,0.631578947368421,0.4444444444444444,0.86,0.6590177133655395,0.6522222222222221,0.33696449304114806,0.8125,0.7857142857142857,1.0
79,0.5,0.7532467532467533,0.6992592592592592,0.7,0.5185185185185185,0.88,0.70908729369656,0.6992592592592592,0.4336735806213181,0.9375,0.9285714285714286,1.0
80,1.0,0.7402597402597403,0.6977777777777778,0.6521739130434783,0.5555555555555556,0.84,0.7038461538461538,0.6977777777777777,0.4123951744684367,0.9375,0.9285714285714286,1.0
81,1.5,0.7402597402597403,0.7062962962962962,0.64,0.5925925925925926,0.82,0.7096530920060332,0.7062962962962963,0.4204522053456932,1.0,1.0,1.0
82,2.0,0.7272727272727273,0.6877777777777778,0.625,0.5555555555555556,0.82,0.692175899486008,0.6877777777777779,0.3868989217888074,0.9375,0.9285714285714286,1.0
83,2.5,0.7662337662337663,0.7348148148148148,0.68,0.6296296296296297,0.84,0.7386877828054299,0.7348148148148149,0.4785757597651158,1.0,1.0,1.0
84,3.0,0.7142857142857143,0.6948148148148148,0.5862068965517241,0.6296296296296297,0.76,0.6913265306122449,0.6948148148148149,0.3837065760234115,1.0,1.0,1.0
85,3.5,0.7272727272727273,0.7048148148148148,0.6071428571428571,0.6296296296296297,0.78,0.703030303030303,0.7048148148148149,0.4063321549001754,1.0,1.0,1.0
86,4.0,0.7012987012987013,0.6848148148148148,0.5666666666666667,0.6296296296296297,0.74,0.6796889130041599,0.6848148148148149,0.36167967605963075,1.0,1.0,1.0
87,4.5,0.7012987012987013,0.6933333333333334,0.5625,0.6666666666666666,0.72,0.6840321141837645,0.6933333333333334,0.37438839013338365,1.0,1.0,1.0
88,5.0,0.6623376623376623,0.6548148148148148,0.5151515151515151,0.6296296296296297,0.68,0.6450354609929079,0.6548148148148147,0.29855619650098675,1.0,1.0,1.0
89,5.5,0.7012987012987013,0.6762962962962963,0.5714285714285714,0.5925925925925926,0.76,0.6747474747474747,0.6762962962962963,0.349754259914075,1.0,1.0,1.0
90,6.0,0.6623376623376623,0.6548148148148148,0.5151515151515151,0.6296296296296297,0.68,0.6450354609929079,0.6548148148148147,0.29855619650098675,1.0,1.0,1.0
91,0.0,0.7402597402597403,0.7233333333333334,0.6206896551724138,0.6666666666666666,0.78,0.7193877551020409,0.7233333333333333,0.4398765500800706,0.8666666666666667,0.8571428571428571,1.0
92,0.5,0.7532467532467533,0.7418518518518519,0.6333333333333333,0.7037037037037037,0.78,0.7353951890034365,0.7418518518518519,0.4733002574487753,0.9333333333333333,0.9285714285714286,1.0
93,1.0,0.7792207792207793,0.7703703703703704,0.6666666666666666,0.7407407407407407,0.8,0.7632483270030747,0.7703703703703704,0.5291105481433476,1.0,1.0,1.0
94,1.5,0.7402597402597403,0.7403703703703703,0.6060606060606061,0.7407407407407407,0.74,0.7269503546099291,0.7403703703703703,0.46354777877784786,1.0,1.0,1.0
95,2.0,0.7532467532467533,0.7503703703703704,0.625,0.7407407407407407,0.76,0.7389830508474576,0.7503703703703704,0.4848401374141137,1.0,1.0,1.0
96,2.5,0.7662337662337663,0.768888888888889,0.6363636363636364,0.7777777777777778,0.76,0.7542553191489361,0.768888888888889,0.5185449728701349,0.9333333333333333,0.9285714285714286,1.0
97,3.0,0.7532467532467533,0.758888888888889,0.6176470588235294,0.7777777777777778,0.74,0.7421117574475586,0.7588888888888888,0.4975498563492141,1.0,1.0,1.0
98,3.5,0.7402597402597403,0.7403703703703703,0.6060606060606061,0.7407407407407407,0.74,0.7269503546099291,0.7403703703703703,0.46354777877784786,1.0,1.0,1.0
99,4.0,0.7402597402597403,0.7488888888888889,0.6,0.7777777777777778,0.72,0.7300140252454418,0.7488888888888888,0.4770278351999552,1.0,1.0,1.0
100,4.5,0.7662337662337663,0.7859259259259259,0.6216216216216216,0.8518518518518519,0.72,0.759375,0.7859259259259259,0.5461595831717048,1.0,1.0,1.0
101,5.0,0.7532467532467533,0.758888888888889,0.6176470588235294,0.7777777777777778,0.74,0.7421117574475586,0.7588888888888888,0.4975498563492141,1.0,1.0,1.0
102,5.5,0.7532467532467533,0.7674074074074073,0.6111111111111112,0.8148148148148148,0.72,0.7448107448107448,0.7674074074074074,0.5114782075908113,1.0,1.0,1.0
103,6.0,0.7402597402597403,0.7574074074074073,0.5945945945945946,0.8148148148148148,0.7,0.7326388888888888,0.7574074074074074,0.49168511697452694,1.0,1.0,1.0
104,0.0,0.7631578947368421,0.7276923076923076,0.6666666666666666,0.6153846153846154,0.84,0.7317647058823529,0.7276923076923076,0.4647749768357825,0.9047619047619048,0.875,1.0
105,0.5,0.7631578947368421,0.7461538461538462,0.6428571428571429,0.6923076923076923,0.8,0.7414965986394557,0.7461538461538462,0.48418202613504197,0.9523809523809523,0.9375,1.0
