,sub,model,depth,A_data,A_BB,F1_data,F1_BB,XNOR,AND,JAC,COS,DICE,TANI
1469,all,KB-ML,6,0.7402597402597403,0.9090909090909091,0.7438050455291834,0.9083111090316444,0.5553571428571429,0.41785714285714287,0.48601517530088956,0.6768098920137343,0.6453042755563765,0.48601517530088956
2565,all,KB-ML,5,0.7894736842105263,0.9605263157894737,0.787327141382869,0.9599515679122091,0.6875,0.15476190476190474,0.3373376623376623,0.5665672868175244,0.5017094017094017,0.3373376623376623
1471,correct,KB-ML,6,0.7402597402597403,0.9090909090909091,0.7438050455291834,0.9083111090316444,0.5733695652173914,0.4076086956521739,0.48648272017837235,0.6817284043891836,0.6462046052838891,0.48648272017837235
3663,correct,KB-ML,4,0.7272727272727273,0.8831168831168831,0.7260499634869146,0.8825928414943921,0.59375,0.2708333333333333,0.3928571428571428,0.5907673680719464,0.560042735042735,0.3928571428571428
1473,all,KB-ML,7,0.7532467532467533,0.8961038961038961,0.7572088928021131,0.8954643168049461,0.7328571428571429,0.5142857142857142,0.6809105180533752,0.8093418388948391,0.7993672250262112,0.6809105180533752
1459,correct,KB-ML,3,0.7012987012987013,0.8441558441558441,0.7081143575525599,0.8443137943137943,0.5739130434782609,0.40869565217391296,0.4951690821256038,0.6640184820339866,0.6416134590047634,0.4951690821256038
1457,all,KB-ML,3,0.7012987012987013,0.8441558441558441,0.7081143575525599,0.8443137943137943,0.5942857142857142,0.43999999999999995,0.5253968253968254,0.6904632672864129,0.6736463536463537,0.5253968253968254
3643,correct,KB-ML,10,0.6493506493506493,0.7922077922077922,0.650767414403778,0.790789670100015,0.8157894736842106,0.5808270676691729,0.763898382319435,0.8652540090044437,0.8580274214949138,0.763898382319435
1447,correct,KB-ML,11,0.6753246753246753,0.9090909090909091,0.6738690041510889,0.908683321162305,0.7615384615384614,0.5076923076923078,0.6788146837682442,0.8121046656843952,0.7906493506493505,0.6788146837682442
1441,all,KB-ML,10,0.6753246753246753,0.9090909090909091,0.6738690041510889,0.908683321162305,0.7433333333333335,0.5233333333333333,0.6913043478260871,0.8076799679855547,0.8019367784992785,0.6913043478260871
2571,correct,KB-ML,6,0.7894736842105263,0.9605263157894737,0.787327141382869,0.9599515679122091,0.6388888888888888,0.4548611111111111,0.5555555555555556,0.7403010568282825,0.7124819624819624,0.5555555555555556
1443,correct,KB-ML,10,0.6753246753246753,0.9090909090909091,0.6738690041510889,0.908683321162305,0.7226666666666667,0.5066666666666667,0.6644444444444445,0.7921146493182114,0.7832611832611831,0.6644444444444445
3677,all,KB-ML,8,0.7272727272727273,0.8831168831168831,0.7198515769944341,0.8799363901404718,0.7596153846153846,0.5576923076923077,0.6967730412002859,0.8262091186704091,0.8161505220240558,0.6967730412002859
1445,all,KB-ML,11,0.6753246753246753,0.9090909090909091,0.6738690041510889,0.908683321162305,0.7740384615384616,0.5192307692307693,0.6977531144036563,0.8196756304776938,0.8024891774891775,0.6977531144036563
3115,correct,KB-ML,10,0.7142857142857143,0.935064935064935,0.719452887537994,0.9351996318288455,0.8350340136054422,0.5969387755102039,0.7865388579674295,0.8813257809318097,0.8721288515406161,0.7865388579674295
3675,correct,KB-ML,7,0.7272727272727273,0.8831168831168831,0.7198515769944341,0.8799363901404718,0.7470238095238095,0.4880952380952381,0.6552083333333333,0.7994476700741511,0.7864906832298136,0.6552083333333333
3671,correct,KB-ML,6,0.7012987012987013,0.8571428571428571,0.6968633878970829,0.855021620298605,0.6180555555555556,0.27083333333333337,0.41127622377622375,0.6369726388968242,0.5807017543859649,0.41127622377622375
1449,all,KB-ML,12,0.6493506493506493,0.935064935064935,0.6531558512025142,0.9357696020745395,0.8017241379310346,0.5718390804597702,0.744458957389992,0.8516457708285797,0.8409533333534748,0.744458957389992
2569,all,KB-ML,6,0.7894736842105263,0.9605263157894737,0.787327141382869,0.9599515679122091,0.6328125,0.4479166666666667,0.5478734228734229,0.7309261318442069,0.7049433409727527,0.5478734228734229
1451,correct,KB-ML,12,0.6493506493506493,0.935064935064935,0.6531558512025142,0.9357696020745395,0.7954022988505745,0.5655172413793103,0.735141065830721,0.8495045350144743,0.837411465902099,0.735141065830721
3673,all,KB-ML,7,0.7272727272727273,0.8831168831168831,0.7198515769944341,0.8799363901404718,0.7234432234432234,0.4908424908424909,0.6405870445344131,0.7848226798971869,0.7754748999126809,0.6405870445344131
1453,all,KB-ML,2,0.7142857142857143,0.8311688311688312,0.7164723032069972,0.8287173500656646,0.5142857142857142,0.32857142857142857,0.41666666666666663,0.5926195526409109,0.5790476190476189,0.41666666666666663
1455,correct,KB-ML,2,0.7142857142857143,0.8311688311688312,0.7164723032069972,0.8287173500656646,0.5217391304347826,0.32608695652173914,0.4166666666666667,0.5974838275903016,0.5797101449275361,0.4166666666666667
1475,correct,KB-ML,7,0.7532467532467533,0.8961038961038961,0.7572088928021131,0.8954643168049461,0.7239130434782608,0.49565217391304356,0.6672240802675585,0.798580626450106,0.7869192694999146,0.6672240802675585
3661,all,KB-ML,4,0.7272727272727273,0.8831168831168831,0.7260499634869146,0.8825928414943921,0.5705128205128206,0.30128205128205127,0.4072039072039072,0.6002963915201099,0.5759678230266465,0.4072039072039072
1477,all,KB-ML,8,0.7402597402597403,0.9090909090909091,0.7438050455291834,0.9083111090316444,0.7389610389610389,0.49740259740259746,0.681595547309833,0.8057670957463631,0.7982598836636104,0.681595547309833
1503,correct,KB-ML,3,0.7532467532467533,0.8441558441558441,0.7465323791854404,0.8382793676911324,0.6800000000000002,0.3400000000000001,0.5416666666666665,0.71,0.6800000000000002,0.5416666666666665
1497,all,KB-ML,2,0.6883116883116883,0.8571428571428571,0.6906970580439968,0.8566840830890786,0.5862068965517241,0.3448275862068966,0.45689655172413796,0.642427536451732,0.6229885057471264,0.45689655172413796
3121,all,KB-ML,12,0.7142857142857143,0.935064935064935,0.719452887537994,0.9351996318288455,0.8070707070707068,0.6030303030303031,0.7831504702194357,0.8726258968272311,0.8640714358105662,0.7831504702194357
1499,correct,KB-ML,2,0.6883116883116883,0.8571428571428571,0.6906970580439968,0.8566840830890786,0.5875,0.3375,0.45,0.6427793560318436,0.6166666666666665,0.45
3649,all,KB-ML,12,0.6363636363636364,0.8051948051948052,0.6391465677179963,0.8045692042123799,0.8368298368298368,0.6107226107226106,0.7940363482671174,0.8819803645237947,0.8780154015524093,0.7940363482671174
1501,all,KB-ML,3,0.7532467532467533,0.8441558441558441,0.7465323791854404,0.8382793676911324,0.7000000000000002,0.35517241379310355,0.5678160919540229,0.7267014361732846,0.7055702917771884,0.5678160919540229
2557,all,KB-ML,3,0.7894736842105263,0.881578947368421,0.7781321991848308,0.8747171667486474,0.6541666666666666,0.37083333333333335,0.5205853174603173,0.6858876848683101,0.6799242424242425,0.5205853174603173
